varietal,date,id,pH,treat,dpt,anthos,spp,lpp,tannins,phenolics,non_tannin
pv,6.28.2023,ACET-3.25,pH 3.25,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2024,ACET-3.25,pH 3.25,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2025,ACET-3.25,pH 3.25,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2026,ACET-3.50,pH 3.50,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2027,ACET-3.50,pH 3.50,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2028,ACET-3.50,pH 3.50,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2029,ACET-3.75,pH 3.75,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2030,ACET-3.75,pH 3.75,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2031,ACET-3.75,pH 3.75,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2032,ACET-4.00,pH 4.00,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2033,ACET-4.00,pH 4.00,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2023,ACET-4.00,pH 4.00,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,12.08.2023,ACET-3.25,pH 3.25,ACET,163,183.1544118,5.891824286,7.555896,1331.10461,2621.310784,1290.206174
pv,12.08.2023,ACET-3.25,pH 3.25,ACET,163,128.3602941,6.066668571,6.768036,1097.796379,2478.069916,1380.273537
pv,12.08.2023,ACET-3.25,pH 3.25,ACET,163,144.1764706,6.027325714,5.9292,1035.611379,2091.531456,1055.920077
pv,12.08.2023,ACET-3.50,pH 3.50,ACET,163,203.1936275,9.914747143,3.782484,1306.306223,2679.916504,1373.610281
pv,12.08.2023,ACET-3.50,pH 3.50,ACET,163,167.8161765,6.106242857,6.346404,1198.734966,2324.22629,1125.491324
pv,12.08.2023,ACET-3.50,pH 3.50,ACET,163,111.1004902,5.26905,6.410232,1007.431664,2125.716851,1118.285188
pv,12.08.2023,ACET-3.75,pH 3.75,ACET,163,506.4583333,9.654968571,0,1316.880094,2657.429824,1340.54973
pv,12.08.2023,ACET-3.75,pH 3.75,ACET,163,333.0759804,9.165034286,0,1161.073939,2445.828359,1284.75442
pv,12.08.2023,ACET-3.75,pH 3.75,ACET,163,137.7941176,9.220345714,3.043656,1019.560946,2076.803139,1057.242193
pv,12.08.2023,ACET-4.00,pH 4.00,ACET,163,493.1985294,9.47538,0,1263.160308,2527.846801,1264.686493
pv,12.08.2023,ACET-4.00,pH 4.00,ACET,163,424.8382353,9.363947143,0,1097.414918,2361.891565,1264.476647
pv,12.08.2023,ACET-4.00,pH 4.00,ACET,163,405.6568627,9.523054286,0,1071.049905,2143.408503,1072.358598
pv,3.28.2024,ACET-3.25,pH 3.25,ACET,274,11.4248366,4.213735714,4.718304,1412.183417,2700.483134,1288.299717
pv,3.28.2024,ACET-3.25,pH 3.25,ACET,274,0,4.305381429,3.646458,1259.289622,2402.363852,1143.07423
pv,3.28.2024,ACET-3.25,pH 3.25,ACET,274,5.215686275,4.174797857,3.218454,1081.8795,2229.385988,1147.506488
pv,3.28.2024,ACET-3.50,pH 3.50,ACET,274,51.87173203,4.496772857,4.37076,1400.646972,2666.438769,1265.791797
pv,3.28.2024,ACET-3.50,pH 3.50,ACET,274,9.107843137,4.478663571,3.389688,1241.866438,2411.301432,1169.434994
pv,3.28.2024,ACET-3.50,pH 3.50,ACET,274,0,3.562495714,3.78918,997.4219134,2188.048829,1190.626915
pv,3.28.2024,ACET-3.75,pH 3.75,ACET,274,96.65441176,4.506782143,3.943674,1308.383446,2855.198429,1546.814983
pv,3.28.2024,ACET-3.75,pH 3.75,ACET,274,0,3.90258,3.630528,1196.982283,2267.669757,1070.687474
pv,3.28.2024,ACET-3.75,pH 3.75,ACET,274,0,3.780790714,3.741012,1012.975172,2164.580034,1151.604861
pv,3.28.2024,ACET-4.00,pH 4.00,ACET,274,30.74264706,4.535768571,4.13424,1367.879525,2721.834776,1353.955251
pv,3.28.2024,ACET-4.00,pH 4.00,ACET,274,4.434640523,4.334194286,3.314034,1182.138423,2490.565537,1308.427114
pv,3.28.2024,ACET-4.00,pH 4.00,ACET,274,0,4.135281429,3.672432,1071.70748,2331.179252,1259.471772
pv,12.01.2024,ACET-3.25,pH 3.25,ACET,522,69.48039216,3.28266,4.308192,1177.395275,2623.268216,1445.872942
pv,12.01.2024,ACET-3.25,pH 3.25,ACET,522,51.42156863,2.867631429,3.349008,977.0949216,2178.057769,1200.962847
