varietal,date,id,ph,treat,dpt,anthos,spp,lpp,tannins,phenolics,non_tannin
CS,6/20/2023,ACET-3.25,3.25,ACET,0,266,0.99,0.84,431,1278,847
CS,6/20/2023,ACET-3.25,3.25,ACET,0,219,0.68,1.23,358,1023,665
CS,6/20/2023,ACET-3.25,3.25,ACET,0,213,0.64,1.17,375,1036,660
CS,11/28/2023,ACET-3.25,3.25,ACET,161,0,1.18,3.87,370,1081,711
CS,11/28/2023,ACET-3.25,3.25,ACET,161,0,1.18,3.9,341,1010,669
CS,11/28/2023,ACET-3.25,3.25,ACET,161,0,1.02,3.95,369,1100,732
CS,3/28/2024,ACET-3.25,3.25,ACET,282,27,1.15,2.43,357,840,482
CS,3/28/2024,ACET-3.25,3.25,ACET,282,37,1.27,2.12,327,817,490
CS,3/28/2024,ACET-3.25,3.25,ACET,282,30,0.96,2.05,360,821,461
CS,11/30/2024,ACET-3.25,3.25,ACET,529,31,1.34,1.61,267,780,513
CS,11/30/2024,ACET-3.25,3.25,ACET,529,30,1.53,1.21,271,697,426
CS,11/30/2024,ACET-3.25,3.25,ACET,529,42,1.35,1.34,280,746,466
CS,6/20/2023,ACET-3.50,3.5,ACET,0,266,0.99,0.84,431,1278,847
CS,6/20/2023,ACET-3.50,3.5,ACET,0,219,0.68,1.23,358,1023,665
CS,6/20/2023,ACET-3.50,3.5,ACET,0,213,0.64,1.17,375,1036,660
CS,11/28/2023,ACET-3.50,3.5,ACET,161,0,1.18,4.21,366,1095,730
CS,11/28/2023,ACET-3.50,3.5,ACET,161,0,1,4,323,934,611
CS,11/28/2023,ACET-3.50,3.5,ACET,161,0,0.87,3.47,362,986,624
CS,3/28/2024,ACET-3.50,3.5,ACET,282,42,1.37,2.44,355,843,488
CS,3/28/2024,ACET-3.50,3.5,ACET,282,41,1.17,2.26,323,834,511
CS,3/28/2024,ACET-3.50,3.5,ACET,282,21,0.76,2.3,339,808,469
CS,11/30/2024,ACET-3.50,3.5,ACET,529,51,1.87,1.47,277,851,574
CS,11/30/2024,ACET-3.50,3.5,ACET,529,32,1.46,1.44,247,780,533
CS,11/30/2024,ACET-3.50,3.5,ACET,529,38,1.33,1.34,262,737,475
CS,6/20/2023,ACET-3.75,3.75,ACET,0,266,0.99,0.84,431,1278,847
CS,6/20/2023,ACET-3.75,3.75,ACET,0,219,0.68,1.23,358,1023,665
CS,6/20/2023,ACET-3.75,3.75,ACET,0,213,0.64,1.17,375,1036,660
CS,11/28/2023,ACET-3.75,3.75,ACET,161,31,1.46,3.97,371,1259,888
CS,11/28/2023,ACET-3.75,3.75,ACET,161,0,0.88,3.7,326,862,536
CS,11/28/2023,ACET-3.75,3.75,ACET,161,0,0.93,3.58,349,1086,737
CS,3/28/2024,ACET-3.75,3.75,ACET,282,63,1.59,2.23,348,963,614
CS,3/28/2024,ACET-3.75,3.75,ACET,282,20,1.15,2.15,308,819,511
CS,3/28/2024,ACET-3.75,3.75,ACET,282,39,1.06,2.13,336,853,517
CS,11/30/2024,ACET-3.75,3.75,ACET,529,16,2.13,1.57,303,992,689
CS,11/30/2024,ACET-3.75,3.75,ACET,529,67,1.97,1.3,250,776,527
CS,11/30/2024,ACET-3.75,3.75,ACET,529,40,1.59,1.4,281,925,644
CS,6/20/2023,ACET-4.00,4,ACET,0,266,0.99,0.84,431,1278,847
CS,6/20/2023,ACET-4.00,4,ACET,0,219,0.68,1.23,358,1023,665
CS,6/20/2023,ACET-4.00,4,ACET,0,213,0.64,1.17,375,1036,660
CS,11/28/2023,ACET-4.00,4,ACET,161,16,1.2,3.35,352,1080,728
CS,11/28/2023,ACET-4.00,4,ACET,161,10,1.05,3.68,337,1051,714
CS,11/28/2023,ACET-4.00,4,ACET,161,8,1.1,3.49,353,1049,696
CS,3/28/2024,ACET-4.00,4,ACET,282,46,1.26,2.22,319,955,637
CS,3/28/2024,ACET-4.00,4,ACET,282,56,1.4,1.91,301,877,576
CS,3/28/2024,ACET-4.00,4,ACET,282,62,1.17,1.84,304,912,608
CS,11/30/2024,ACET-4.00,4,ACET,529,83,1.91,1.39,301,955,654
CS,11/30/2024,ACET-4.00,4,ACET,529,63,1.97,1.34,265,908,643
CS,11/30/2024,ACET-4.00,4,ACET,529,78,1.7,1.22,274,881,607
